ID: 1835, Name: BRM-APP-QDRKWDR
ID: 1851, Name: BRM-APP-THWIKI
ID: 1871, Name: BRM-APP-XPACT
ID: 1839, Name: BRM-APP-RADIUS1
ID: 1842, Name: BRM-APP-SVEEM
ID: 1857, Name: BRM-APP-VAULT03
ID: 1849, Name: BRM-APP-TFS04
ID: 1891, Name: BRM-CLS-0124
ID: 1919, Name: BRM-DEV-BUILD05
ID: 1957, Name: BRM-FLS-1002
ID: 1905, Name: BRM-DCA-18
ID: 1932, Name: BRM-DEV-KBWW02
ID: 1936, Name: BRM-DEV-KWHG
ID: 1938, Name: BRM-DEV-OPS01
ID: 1897, Name: BRM-CLS-0224
ID: 1898, Name: BRM-CLS-0233
ID: 1943, Name: BRM-DEV-QDR
ID: 1921, Name: BRM-DEV-DCP
ID: 1912, Name: BRM-DEV-16
ID: 1918, Name: BRM-DEV-BUILD04
ID: 1923, Name: BRM-DEV-DCPKWBZ
ID: 1927, Name: BRM-DEV-EVS1
ID: 1954, Name: BRM-FLS-03
ID: 1929, Name: BRM-DEV-HECTMP
ID: 1933, Name: BRM-DEV-KOOR03
ID: 1999, Name: BRM-SMS-BTCDB01
ID: 2038, Name: BRM-SQL-MIG03
ID: 2001, Name: BRM-SMS-CMDPN2
ID: 1975, Name: BRM-PROTECT-02
ID: 1983, Name: BRM-PRS-SCN01
ID: 2014, Name: BRM-SMS-HMC02
ID: 1995, Name: BRM-SMS-15
ID: 2025, Name: BRM-SMS-W25K01
ID: 1974, Name: BRM-PROTECT-01
ID: 1996, Name: BRM-SMS-16
ID: 2000, Name: BRM-SMS-CMDPN1
ID: 1976, Name: BRM-PROTECT-VCSP02
ID: 438, Name: brm-rdg-bg1-01
ID: 2004, Name: BRM-SMS-CMFPN1
ID: 1984, Name: BRM-RDG-DC01
ID: 2006, Name: BRM-SMS-DOM01-1
ID: 2011, Name: BRM-SMS-HDS03
ID: 2015, Name: BRM-SMS-HMCV01
ID: 2019, Name: BRM-SMS-SOTI02
ID: 2056, Name: BRM-TST-68
ID: 2066, Name: BRM-TST-GPQS21
ID: 2064, Name: BRM-TST-GPQS19
ID: 2100, Name: BRM-VRS-29
ID: 2102, Name: BRM-VRS-37
ID: 2104, Name: BRM-VRS-41
ID: 2060, Name: BRM-TST-DCPKWBZ
ID: 2106, Name: BRM-VRS-50
ID: 2043, Name: BRM-TRM-17
ID: 2048, Name: BRM-TRM-SAPBS
ID: 2054, Name: BRM-TST-21
ID: 2098, Name: BRM-VRS-27
ID: 2099, Name: BRM-VRS-28
ID: 2077, Name: BRM-TST-QDR
ID: 2101, Name: BRM-VRS-36
ID: 520, Name: brm-trm-bg1-03
ID: 2103, Name: BRM-VRS-40
ID: 2045, Name: BRM-TRM-BTC05
ID: 2105, Name: BRM-VRS-49
ID: 2109, Name: BRM-VRS-55
ID: 2107, Name: BRM-VRS-51
ID: 2111, Name: BRM-VRS-63
ID: 2115, Name: BRM-VRS-DMZ01
ID: 2053, Name: BRM-TST-20
ID: 2059, Name: BRM-TST-DCPBG2
ID: 2067, Name: BRM-TST-GPQS22
ID: 2108, Name: BRM-VRS-52
ID: 2110, Name: BRM-VRS-58
ID: 2112, Name: BRM-VRS-65
ID: 2138, Name: DWH3
ID: 2114, Name: BRM-VRS-69
ID: 2116, Name: BRM-VRS-DMZ02
ID: 168, Name: brm-app-cweb01
ID: 178, Name: brm-app-gcmkw01
ID: 179, Name: brm-app-gcmld02
ID: 190, Name: brm-app-intrex2
ID: 247, Name: brm-app-tahcmp
ID: 529, Name: brm-trmcb-bg1-3
ID: 530, Name: brm-trmcb-bg2-3
ID: 394, Name: brm-dev-xmd01
ID: 439, Name: brm-rdg-bg1-02
ID: 440, Name: brm-rdg-bg2-01
ID: 441, Name: brm-rdg-bg2-02
ID: 449, Name: brm-rdg-kw03
ID: 450, Name: brm-rdg-kw04
ID: 451, Name: brm-rdg-ld03
ID: 452, Name: brm-rdg-ld04
ID: 453, Name: brm-rdg-ww03
ID: 454, Name: brm-rdg-ww04
ID: 482, Name: brm-sms-nblic
ID: 495, Name: brm-sms-wms01
ID: 515, Name: brm-tah-service
ID: 521, Name: brm-trm-bg1-04
ID: 522, Name: brm-trm-bg2-03
